variant,label,count,proportion,scope,book_id,processed_dir,title
indep_winsize_5,4,4,0.0034542314335060447,book,768.0,wuthering_heights,Wuthering Heights
base,0,1953,0.423828125,book,1184.0,count_monte_cristo,The Count of Monte Cristo
base,1,506,0.10980902777777778,book,1184.0,count_monte_cristo,The Count of Monte Cristo
base,2,719,0.1560329861111111,book,1184.0,count_monte_cristo,The Count of Monte Cristo
base,3,1375,0.2983940972222222,book,1184.0,count_monte_cristo,The Count of Monte Cristo
base,4,55,0.011935763888888888,book,1184.0,count_monte_cristo,The Count of Monte Cristo
winsize_5,0,638,0.1384548611111111,book,1184.0,count_monte_cristo,The Count of Monte Cristo
winsize_5,1,365,0.07921006944444445,book,1184.0,count_monte_cristo,The Count of Monte Cristo
winsize_5,2,1050,0.22786458333333334,book,1184.0,count_monte_cristo,The Count of Monte Cristo
winsize_5,3,2405,0.5219184027777778,book,1184.0,count_monte_cristo,The Count of Monte Cristo
winsize_5,4,150,0.032552083333333336,book,1184.0,count_monte_cristo,The Count of Monte Cristo
indep_winsize_5,0,308,0.06684027777777778,book,1184.0,count_monte_cristo,The Count of Monte Cristo
indep_winsize_5,1,2236,0.4852430555555556,book,1184.0,count_monte_cristo,The Count of Monte Cristo
indep_winsize_5,2,1626,0.3528645833333333,book,1184.0,count_monte_cristo,The Count of Monte Cristo
indep_winsize_5,3,421,0.09136284722222222,book,1184.0,count_monte_cristo,The Count of Monte Cristo
indep_winsize_5,4,17,0.003689236111111111,book,1184.0,count_monte_cristo,The Count of Monte Cristo
base,0,850,0.3706934147405146,book,1257.0,three_musketeers,The Three Musketeers
base,1,242,0.10553859572612298,book,1257.0,three_musketeers,The Three Musketeers
base,2,383,0.16703009158307894,book,1257.0,three_musketeers,The Three Musketeers
base,3,781,0.3406018316615787,book,1257.0,three_musketeers,The Three Musketeers
base,4,37,0.016136066288704752,book,1257.0,three_musketeers,The Three Musketeers
winsize_5,0,150,0.06541648495420846,book,1257.0,three_musketeers,The Three Musketeers
winsize_5,1,278,0.12123855211513301,book,1257.0,three_musketeers,The Three Musketeers
winsize_5,2,465,0.20279110335804623,book,1257.0,three_musketeers,The Three Musketeers
winsize_5,3,1345,0.5865678150894025,book,1257.0,three_musketeers,The Three Musketeers
winsize_5,4,55,0.02398604448320977,book,1257.0,three_musketeers,The Three Musketeers
indep_winsize_5,0,99,0.043174880069777585,book,1257.0,three_musketeers,The Three Musketeers
indep_winsize_5,1,1046,0.45617095508068034,book,1257.0,three_musketeers,The Three Musketeers
indep_winsize_5,2,905,0.3946794592237244,book,1257.0,three_musketeers,The Three Musketeers
indep_winsize_5,3,239,0.10423026602703882,book,1257.0,three_musketeers,The Three Musketeers
indep_winsize_5,4,4,0.0017444395987788923,book,1257.0,three_musketeers,The Three Musketeers
base,0,728,0.3930885529157667,book,1260.0,jane_eyre,Jane Eyre
base,1,251,0.1355291576673866,book,1260.0,jane_eyre,Jane Eyre
base,2,312,0.16846652267818574,book,1260.0,jane_eyre,Jane Eyre
base,3,524,0.28293736501079914,book,1260.0,jane_eyre,Jane Eyre
base,4,37,0.01997840172786177,book,1260.0,jane_eyre,Jane Eyre
winsize_5,0,245,0.13228941684665227,book,1260.0,jane_eyre,Jane Eyre
winsize_5,1,187,0.1009719222462203,book,1260.0,jane_eyre,Jane Eyre
winsize_5,2,400,0.2159827213822894,book,1260.0,jane_eyre,Jane Eyre
winsize_5,3,955,0.515658747300216,book,1260.0,jane_eyre,Jane Eyre
winsize_5,4,65,0.03509719222462203,book,1260.0,jane_eyre,Jane Eyre
indep_winsize_5,0,216,0.11663066954643629,book,1260.0,jane_eyre,Jane Eyre
indep_winsize_5,1,923,0.49838012958963285,book,1260.0,jane_eyre,Jane Eyre
indep_winsize_5,2,565,0.3050755939524838,book,1260.0,jane_eyre,Jane Eyre
indep_winsize_5,3,141,0.07613390928725702,book,1260.0,jane_eyre,Jane Eyre
indep_winsize_5,4,7,0.003779697624190065,book,1260.0,jane_eyre,Jane Eyre
base,0,568,0.44654088050314467,book,1342.0,pride_prejudice,Pride and Prejudice
base,1,165,0.12971698113207547,book,1342.0,pride_prejudice,Pride and Prejudice
base,2,269,0.21147798742138366,book,1342.0,pride_prejudice,Pride and Prejudice
base,3,262,0.2059748427672956,book,1342.0,pride_prejudice,Pride and Prejudice
base,4,8,0.006289308176100629,book,1342.0,pride_prejudice,Pride and Prejudice
winsize_5,0,247,0.19418238993710693,book,1342.0,pride_prejudice,Pride and Prejudice
winsize_5,1,205,0.1611635220125786,book,1342.0,pride_prejudice,Pride and Prejudice
winsize_5,2,320,0.25157232704402516,book,1342.0,pride_prejudice,Pride and Prejudice
winsize_5,3,485,0.3812893081761006,book,1342.0,pride_prejudice,Pride and Prejudice
winsize_5,4,15,0.01179245283018868,book,1342.0,pride_prejudice,Pride and Prejudice
indep_winsize_5,0,169,0.13286163522012578,book,1342.0,pride_prejudice,Pride and Prejudice
indep_winsize_5,1,687,0.5400943396226415,book,1342.0,pride_prejudice,Pride and Prejudice
indep_winsize_5,2,358,0.28144654088050314,book,1342.0,pride_prejudice,Pride and Prejudice
indep_winsize_5,3,55,0.04323899371069182,book,1342.0,pride_prejudice,Pride and Prejudice
indep_winsize_5,4,3,0.0023584905660377358,book,1342.0,pride_prejudice,Pride and Prejudice
base,0,33,0.12790697674418605,book,1513.0,romeo_juliet,Romeo and Juliet
base,1,7,0.027131782945736434,book,1513.0,romeo_juliet,Romeo and Juliet
base,2,14,0.05426356589147287,book,1513.0,romeo_juliet,Romeo and Juliet
base,3,184,0.7131782945736435,book,1513.0,romeo_juliet,Romeo and Juliet
base,4,20,0.07751937984496124,book,1513.0,romeo_juliet,Romeo and Juliet
winsize_5,0,5,0.01937984496124031,book,1513.0,romeo_juliet,Romeo and Juliet
winsize_5,1,0,0.0,book,1513.0,romeo_juliet,Romeo and Juliet
winsize_5,2,15,0.05813953488372093,book,1513.0,romeo_juliet,Romeo and Juliet
winsize_5,3,163,0.6317829457364341,book,1513.0,romeo_juliet,Romeo and Juliet
winsize_5,4,75,0.29069767441860467,book,1513.0,romeo_juliet,Romeo and Juliet
indep_winsize_5,0,8,0.031007751937984496,book,1513.0,romeo_juliet,Romeo and Juliet
indep_winsize_5,1,93,0.36046511627906974,book,1513.0,romeo_juliet,Romeo and Juliet
indep_winsize_5,2,98,0.3798449612403101,book,1513.0,romeo_juliet,Romeo and Juliet
indep_winsize_5,3,53,0.2054263565891473,book,1513.0,romeo_juliet,Romeo and Juliet
indep_winsize_5,4,6,0.023255813953488372,book,1513.0,romeo_juliet,Romeo and Juliet
base,0,435,0.4166666666666667,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
base,1,119,0.11398467432950192,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
base,2,212,0.20306513409961685,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
base,3,259,0.24808429118773948,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
base,4,19,0.018199233716475097,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
winsize_5,0,129,0.1235632183908046,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
winsize_5,1,85,0.08141762452107279,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
winsize_5,2,285,0.27298850574712646,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
winsize_5,3,500,0.4789272030651341,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
winsize_5,4,45,0.04310344827586207,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
indep_winsize_5,0,117,0.11206896551724138,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
indep_winsize_5,1,482,0.4616858237547893,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
indep_winsize_5,2,336,0.3218390804597701,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
indep_winsize_5,3,101,0.09674329501915709,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
indep_winsize_5,4,8,0.007662835249042145,book,1661.0,adventures_sherlock_holmes,The Adventures of Sherlock Holmes
